"Country or Area","Year","Value"
"Australia","2016","413369.922999922"
"Australia","2015","402995.45341641"
"Australia","2014","393464.239204598"
"Australia","2013","398163.798184305"
"Australia","2012","407146.057137231"
"Australia","2011","404246.57114897"
"Australia","2010","406752.772695389"
"Australia","2009","408672.631647233"
"Australia","2008","405048.53717719"
"Australia","2007","400415.729422351"
"Australia","2006","392681.873174982"
"Australia","2005","386515.211594785"
"Australia","2004","383204.94472309"
"Australia","2003","369725.835428463"
"Australia","2002","362209.093829325"
"Australia","2001","357668.742790314"
"Australia","2000","350194.581777693"
"Australia","1999","344063.336207"
"Australia","1998","334684.106535041"
"Australia","1997","320794.696404265"
"Australia","1996","312361.209994883"
"Australia","1995","305409.799300553"
"Australia","1994","294014.610394374"
"Australia","1993","289234.856483038"
"Australia","1992","284912.12433001"
"Australia","1991","279872.363891333"
"Australia","1990","278424.375726354"
"Austria","2016","67402.0825866645"
"Austria","2015","66703.9879263669"
"Austria","2014","64253.3261843079"
"Austria","2013","68001.230426846"
"Austria","2012","67661.3995521171"
"Austria","2011","70115.6704326116"
"Austria","2010","72383.1441272578"
"Austria","2009","67483.0597159668"
"Austria","2008","73806.2710457728"
"Austria","2007","74032.1171305129"
"Austria","2006","76688.4645134055"
"Austria","2005","79366.679877676"
"Austria","2004","78052.5459788023"
"Austria","2003","77764.2492157985"
"Austria","2002","72146.5382070756"
"Austria","2001","70390.8574311891"
"Austria","2000","66261.7430574386"
"Austria","1999","65621.0049633297"
"Austria","1998","67054.3640444077"
"Austria","1997","67453.0113109316"
"Austria","1996","67673.8874363644"
"Austria","1995","64205.9502214527"
"Austria","1994","61190.346754972"
"Austria","1993","60787.739132288"
"Austria","1992","60431.4591788529"
"Austria","1991","65899.6776502192"
"Austria","1990","62292.2289348589"
"Belarus","2016","60509.2029425066"
"Belarus","2015","58965.7528344353"
"Belarus","2014","63779.9853301728"
"Belarus","2013","64423.6974966854"
"Belarus","2012","63674.7570897177"
"Belarus","2011","62772.7461417606"
"Belarus","2010","63862.3896675745"
"Belarus","2009","61937.8322637952"
"Belarus","2008","66390.0588770928"
"Belarus","2007","64263.9228333069"
"Belarus","2006","64861.610269178"
"Belarus","2005","62049.3943894498"
"Belarus","2004","60767.1915191423"
"Belarus","2003","57112.2866240652"
"Belarus","2002","55677.1567163138"
"Belarus","2001","55560.3301990437"
"Belarus","2000","55458.0348871645"
"Belarus","1999","56991.2070747372"
"Belarus","1998","59407.8185754427"
"Belarus","1997","62545.8355591334"
"Belarus","1996","59202.2742203084"
"Belarus","1995","57947.4893812873"
"Belarus","1994","64372.9570141916"
"Belarus","1993","77615.57865439"
"Belarus","1992","89990.4456659498"
"Belarus","1991","97040.0594262188"
"Belarus","1990","104134.684032564"
"Belgium","2016","100243.709223954"
"Belgium","2015","100229.489804071"
"Belgium","2014","96391.0412508051"
"Belgium","2013","101970.441980596"
"Belgium","2012","101394.975187301"
"Belgium","2011","104158.641918912"
"Belgium","2010","113582.031439296"
"Belgium","2009","107642.367043709"
"Belgium","2008","120659.010028169"
"Belgium","2007","120611.401780879"
"Belgium","2006","124030.888529781"
"Belgium","2005","125638.201617491"
"Belgium","2004","129040.882690648"
"Belgium","2003","127953.18469516"
"Belgium","2002","126444.626442896"
"Belgium","2001","126129.005853565"
"Belgium","2000","126794.789289952"
"Belgium","1999","124745.701418605"
"Belgium","1998","130285.112643301"
"Belgium","1997","124046.824633824"
"Belgium","1996","129583.624556681"
"Belgium","1995","126082.964152193"
"Belgium","1994","124938.188982196"
"Belgium","1993","121557.284451692"
"Belgium","1992","122657.810581224"
"Belgium","1991","123544.709375005"
"Belgium","1990","120484.399253991"
"Bulgaria","2016","45287.3869158247"
"Bulgaria","2015","48132.6915099182"
"Bulgaria","2014","45142.4692138509"
"Bulgaria","2013","42586.0027206618"
"Bulgaria","2012","48269.4913492226"
"Bulgaria","2011","53116.4674129796"
"Bulgaria","2010","47792.8033547561"
"Bulgaria","2009","45707.1451282628"
"Bulgaria","2008","53972.7925556939"
"Bulgaria","2007","55637.0341777589"
"Bulgaria","2006","51825.570508838"
"Bulgaria","2005","50591.2947317378"
"Bulgaria","2004","49508.6394441039"
"Bulgaria","2003","50414.4611502419"
"Bulgaria","2002","46166.3637672995"
"Bulgaria","2001","48923.3153400683"
"Bulgaria","2000","45213.9263986005"
"Bulgaria","1999","46096.2719132467"
"Bulgaria","1998","52526.259826193"
"Bulgaria","1997","55181.6198051054"
"Bulgaria","1996","57952.5428936129"
"Bulgaria","1995","57536.9868135367"
"Bulgaria","1994","55936.1402380009"
